-- ignore option cache	
WARNING: unknown option/argument: save IGNORING for DIRECTORY NAME	
-- ignore option optimState	
-- ignore option retrain	
{
  cudnn : "fastest"
  txtimg : "../data/rendout/tmp_y144_x256_aug/lists/img_pos.txt"
  cache : "../save/"
  batchSize : 32
  W : 64
  netType : "testmodel"
  nDonkeys : 3
  weightDecay : 0.0005
  save : "/home/namhoon/develop/PoseRegression/save/PR_fcn/option/t_WedApr618:36:452016"
  t : "PR_fcn"
  LR : 0.001
  optimState : "none"
  txtjsdc : "../data/rendout/tmp_y144_x256_aug/lists/jsdc_pos.txt"
  nGPU : 1
  nTestData : 1000
  resume : "none"
  H : 128
  dataset : "towncenter"
  epochNumber : 1
  shareGradInput : "false"
  nTrainData : 300000
  epochSize : 9375
  nEpochs : 50
  nJoints : 27
  GPU : 1
  backend : "cudnn"
  momentum : 0.9
  retrain : "none"
}
=> Creating model from file: models/testmodel.lua	
 | sposeNet .. towncenter	
Loaded mean and std from cache.
Loaded mean and std from cache.
Loaded mean and std from cache.
--TRAIN STARTS..	
Ep. [1/50][1/9375] Time(s): 10.65  batch err: 40.6741071 | dataLoadTime: 1.753 | mem: 2962.49	
Ep. [1/50][2/9375] Time(s): 0.85  batch err: 40.8695188 | dataLoadTime: 0.005 | mem: 3002.36	
Ep. [1/50][3/9375] Time(s): 0.85  batch err: 40.1760159 | dataLoadTime: 0.005 | mem: 3014.51	
Ep. [1/50][4/9375] Time(s): 0.85  batch err: 39.2462411 | dataLoadTime: 0.005 | mem: 3016.19	
Ep. [1/50][5/9375] Time(s): 0.85  batch err: 38.4566193 | dataLoadTime: 0.005 | mem: 3022.80	
Ep. [1/50][6/9375] Time(s): 0.85  batch err: 36.8449945 | dataLoadTime: 0.005 | mem: 3026.34	
Ep. [1/50][7/9375] Time(s): 0.85  batch err: 35.5571432 | dataLoadTime: 0.005 | mem: 3028.02	
Ep. [1/50][8/9375] Time(s): 0.85  batch err: 34.3610578 | dataLoadTime: 0.005 | mem: 3031.15	
Ep. [1/50][9/9375] Time(s): 0.85  batch err: 33.2969518 | dataLoadTime: 0.005 | mem: 3033.14	
Ep. [1/50][10/9375] Time(s): 0.85  batch err: 32.2007842 | dataLoadTime: 0.005 | mem: 3033.92	
Ep. [1/50][11/9375] Time(s): 0.85  batch err: 31.1070001 | dataLoadTime: 0.005 | mem: 3035.43	
Ep. [1/50][12/9375] Time(s): 0.85  batch err: 30.3439786 | dataLoadTime: 0.005 | mem: 3036.35	
Ep. [1/50][13/9375] Time(s): 0.86  batch err: 29.3122537 | dataLoadTime: 0.005 | mem: 3040.16	
