-- ignore option cache	
WARNING: unknown option/argument: save IGNORING for DIRECTORY NAME	
-- ignore option optimState	
-- ignore option retrain	
{
  cudnn : "fastest"
  txtimg : "../data/rendout/tmp_y144_x256_aug/lists/img.txt"
  cache : "../save/"
  t : "PR_fcn"
  batchSize : 4
  resume : "none"
  epochSize : 75000
  nDonkeys : 2
  W : 64
  save : "/home/namhoon/develop/PoseRegression/save/PR_fcn/option/t_MonApr414:14:562016"
  LR : 0.01
  nTestData : 1000
  optimState : "none"
  txtjsdc : "../data/rendout/tmp_y144_x256_aug/lists/jsdc.txt"
  nGPU : 1
  depth : 18
  netType : "sposenet"
  H : 128
  dataset : "towncenter"
  epochNumber : 1
  shareGradInput : "false"
  nTrainData : 300000
  weightDecay : 0.0005
  nEpochs : 50
  nJoints : 27
  GPU : 1
  backend : "cudnn"
  momentum : 0.9
  retrain : "none"
}
=> Creating model from file: models/sposenet.lua	
 | sposeNet .. towncenter	
Loaded mean and std from cache.
Loaded mean and std from cache.
--TRAIN STARTS..	
Ep. [1/50][1/75000] Time(s): 5.23  batch err: 0.5704641 | dataLoadTime: 1.219 | mem: 2883.44	
Ep. [1/50][2/75000] Time(s): 5.24  batch err: 0.5446727 | dataLoadTime: 0.005 | mem: 2945.28	
Ep. [1/50][3/75000] Time(s): 5.28  batch err: 0.5038400 | dataLoadTime: 0.005 | mem: 2957.61	
Ep. [1/50][4/75000] Time(s): 5.27  batch err: 0.4579202 | dataLoadTime: 0.005 | mem: 2963.34	
Ep. [1/50][5/75000] Time(s): 5.28  batch err: 0.4128055 | dataLoadTime: 0.005 | mem: 2964.63	
Ep. [1/50][6/75000] Time(s): 5.54  batch err: 0.3941774 | dataLoadTime: 0.005 | mem: 2967.16	
Ep. [1/50][7/75000] Time(s): 5.68  batch err: 0.3683037 | dataLoadTime: 0.005 | mem: 2969.90	
Ep. [1/50][8/75000] Time(s): 5.68  batch err: 0.3546994 | dataLoadTime: 0.005 | mem: 2973.48	
Ep. [1/50][9/75000] Time(s): 5.64  batch err: 0.3432710 | dataLoadTime: 0.005 | mem: 2976.07	
Ep. [1/50][10/75000] Time(s): 5.63  batch err: 0.3395803 | dataLoadTime: 0.005 | mem: 2978.45	
Ep. [1/50][11/75000] Time(s): 5.64  batch err: 0.3333271 | dataLoadTime: 0.005 | mem: 2985.35	
Ep. [1/50][12/75000] Time(s): 5.71  batch err: 0.3167088 | dataLoadTime: 0.005 | mem: 2986.52	
Ep. [1/50][13/75000] Time(s): 5.97  batch err: 0.3098740 | dataLoadTime: 0.005 | mem: 2986.85	
Ep. [1/50][14/75000] Time(s): 5.78  batch err: 0.2944791 | dataLoadTime: 0.005 | mem: 2987.47	
Ep. [1/50][15/75000] Time(s): 5.78  batch err: 0.2835145 | dataLoadTime: 0.005 | mem: 2988.70	
Ep. [1/50][16/75000] Time(s): 5.78  batch err: 0.2779579 | dataLoadTime: 0.005 | mem: 2989.42	
Ep. [1/50][17/75000] Time(s): 5.63  batch err: 0.2636191 | dataLoadTime: 0.005 | mem: 2990.54	
Ep. [1/50][18/75000] Time(s): 5.62  batch err: 0.2564353 | dataLoadTime: 0.005 | mem: 2992.38	
