-- ignore option cache	
WARNING: unknown option/argument: save IGNORING for DIRECTORY NAME	
-- ignore option optimState	
-- ignore option retrain	
{
  cudnn : "fastest"
  txtimg : "../data/rendout/tmp_y144_x256_aug/lists/img_quarter.txt"
  cache : "../save/"
  LR : 0.01
  W_jsdc : 16
  H_jsdc : 32
  nDonkeys : 2
  netType : "cpm"
  nTestData : 1000
  t : "PR_fcn"
  save : "/home/namhoon/develop/PoseRegression/save/PR_fcn/option/t_FriApr819:16:532016"
  batchSize : 64
  W : 64
  optimState : "none"
  txtjsdc : "../data/rendout/tmp_y144_x256_aug/lists/jsdc_quarter.txt"
  nGPU : 1
  resume : "none"
  weightDecay : 0.0005
  momentum : 0.9
  dataset : "towncenter"
  epochNumber : 1
  shareGradInput : "false"
  nTrainData : 300000
  epochSize : 4688
  nEpochs : 50
  nJoints : 27
  GPU : 1
  backend : "cudnn"
  H : 128
  retrain : "none"
}
=> Creating model from file: models/cpm.lua	
 | CPM .. towncenter	
Loaded mean and std from cache.
Loaded mean and std from cache.
--TRAIN STARTS..	
Ep. [1/50][1/4688] Time(s): 2.34  batch err: 0.9530538917 | dataLoadTime: 0.550 | mem: 2810.75	
Ep. [1/50][2/4688] Time(s): 0.23  batch err: 1.0964029431 | dataLoadTime: 0.005 | mem: 2786.21	
Ep. [1/50][3/4688] Time(s): 0.23  batch err: 0.9782263935 | dataLoadTime: 0.005 | mem: 2799.74	
Ep. [1/50][4/4688] Time(s): 0.23  batch err: 0.9941129982 | dataLoadTime: 0.005 | mem: 2797.64	
Ep. [1/50][5/4688] Time(s): 0.23  batch err: 1.0237848163 | dataLoadTime: 0.005 | mem: 2802.52	
Ep. [1/50][6/4688] Time(s): 0.23  batch err: 1.1242104769 | dataLoadTime: 0.005 | mem: 2804.96	
Ep. [1/50][7/4688] Time(s): 0.23  batch err: 1.2847769260 | dataLoadTime: 0.005 | mem: 2808.35	
Ep. [1/50][8/4688] Time(s): 0.23  batch err: 1.3905684948 | dataLoadTime: 0.005 | mem: 2809.64	
Ep. [1/50][9/4688] Time(s): 0.23  batch err: 1.3615406752 | dataLoadTime: 0.005 | mem: 2813.43	
Ep. [1/50][10/4688] Time(s): 0.23  batch err: 1.4364357889 | dataLoadTime: 0.005 | mem: 2816.25	
Ep. [1/50][11/4688] Time(s): 0.23  batch err: 1.3992273211 | dataLoadTime: 0.005 | mem: 2817.77	
Ep. [1/50][12/4688] Time(s): 0.23  batch err: 1.3457345366 | dataLoadTime: 0.004 | mem: 2818.56	
Ep. [1/50][13/4688] Time(s): 0.23  batch err: 1.1477377117 | dataLoadTime: 0.004 | mem: 2822.27	
Ep. [1/50][14/4688] Time(s): 0.23  batch err: 1.0631203651 | dataLoadTime: 0.005 | mem: 2823.18	
Ep. [1/50][15/4688] Time(s): 0.23  batch err: 0.8742284626 | dataLoadTime: 0.004 | mem: 2823.34	
Ep. [1/50][16/4688] Time(s): 0.23  batch err: 0.7394900471 | dataLoadTime: 0.004 | mem: 2824.21	
Ep. [1/50][17/4688] Time(s): 0.23  batch err: 0.6219251901 | dataLoadTime: 0.004 | mem: 2826.16	
Ep. [1/50][18/4688] Time(s): 0.23  batch err: 0.5660454631 | dataLoadTime: 0.004 | mem: 2827.52	
Ep. [1/50][19/4688] Time(s): 0.23  batch err: 0.5111020505 | dataLoadTime: 0.004 | mem: 2827.86	
Ep. [1/50][20/4688] Time(s): 0.23  batch err: 0.4945965856 | dataLoadTime: 0.004 | mem: 2828.01	
Ep. [1/50][21/4688] Time(s): 0.23  batch err: 0.5411995798 | dataLoadTime: 0.004 | mem: 2828.49	
Ep. [1/50][22/4688] Time(s): 0.23  batch err: 0.6042149663 | dataLoadTime: 0.004 | mem: 2828.49	
Ep. [1/50][23/4688] Time(s): 0.23  batch err: 0.6667058170 | dataLoadTime: 0.004 | mem: 2829.09	
Ep. [1/50][24/4688] Time(s): 0.23  batch err: 0.7223142982 | dataLoadTime: 0.004 | mem: 2829.09	
Ep. [1/50][25/4688] Time(s): 0.23  batch err: 0.6718334556 | dataLoadTime: 0.004 | mem: 2830.15	
Ep. [1/50][26/4688] Time(s): 0.23  batch err: 0.7035641372 | dataLoadTime: 0.004 | mem: 2830.91	
Ep. [1/50][27/4688] Time(s): 0.23  batch err: 0.6828483045 | dataLoadTime: 0.005 | mem: 2830.91	
Ep. [1/50][28/4688] Time(s): 0.23  batch err: 0.7269746363 | dataLoadTime: 0.004 | mem: 2830.91	
Ep. [1/50][29/4688] Time(s): 0.23  batch err: 0.7262069285 | dataLoadTime: 0.004 | mem: 2831.39	
Ep. [1/50][30/4688] Time(s): 0.23  batch err: 0.7435889244 | dataLoadTime: 0.005 | mem: 2831.88	
Ep. [1/50][31/4688] Time(s): 0.23  batch err: 0.6848786473 | dataLoadTime: 0.004 | mem: 2831.88	
Ep. [1/50][32/4688] Time(s): 0.23  batch err: 0.6390114129 | dataLoadTime: 0.004 | mem: 2832.41	
Ep. [1/50][33/4688] Time(s): 0.23  batch err: 0.5716547966 | dataLoadTime: 0.004 | mem: 2832.66	
Ep. [1/50][34/4688] Time(s): 0.23  batch err: 0.5353857577 | dataLoadTime: 0.004 | mem: 2832.66	
Ep. [1/50][35/4688] Time(s): 0.23  batch err: 0.5216546059 | dataLoadTime: 0.005 | mem: 2832.66	
Ep. [1/50][36/4688] Time(s): 0.23  batch err: 0.4910122007 | dataLoadTime: 0.004 | mem: 2833.09	
Ep. [1/50][37/4688] Time(s): 0.23  batch err: 0.4383486360 | dataLoadTime: 0.004 | mem: 2833.09	
Ep. [1/50][38/4688] Time(s): 0.23  batch err: 0.3990467042 | dataLoadTime: 0.004 | mem: 2833.39	
Ep. [1/50][39/4688] Time(s): 0.23  batch err: 0.3430194929 | dataLoadTime: 0.004 | mem: 2833.73	
Ep. [1/50][40/4688] Time(s): 0.23  batch err: 0.3420920148 | dataLoadTime: 0.004 | mem: 2834.02	
Ep. [1/50][41/4688] Time(s): 0.23  batch err: 0.2947500050 | dataLoadTime: 0.005 | mem: 2834.66	
Ep. [1/50][42/4688] Time(s): 0.23  batch err: 0.2758915350 | dataLoadTime: 0.004 | mem: 2835.23	
Ep. [1/50][43/4688] Time(s): 0.23  batch err: 0.2518038526 | dataLoadTime: 0.004 | mem: 2835.32	
Ep. [1/50][44/4688] Time(s): 0.23  batch err: 0.2362449542 | dataLoadTime: 0.004 | mem: 2835.32	
Ep. [1/50][45/4688] Time(s): 0.23  batch err: 0.2176143453 | dataLoadTime: 0.004 | mem: 2835.32	
Ep. [1/50][46/4688] Time(s): 0.23  batch err: 0.2193622515 | dataLoadTime: 0.004 | mem: 2835.32	
Ep. [1/50][47/4688] Time(s): 0.23  batch err: 0.2146977261 | dataLoadTime: 0.004 | mem: 2835.32	
Ep. [1/50][48/4688] Time(s): 0.24  batch err: 0.2246159762 | dataLoadTime: 0.004 | mem: 2835.32	
Ep. [1/50][49/4688] Time(s): 0.23  batch err: 0.2250076234 | dataLoadTime: 0.005 | mem: 2835.32	
Ep. [1/50][50/4688] Time(s): 0.23  batch err: 0.2485945746 | dataLoadTime: 0.004 | mem: 2836.35	
Ep. [1/50][51/4688] Time(s): 0.23  batch err: 0.2308799773 | dataLoadTime: 0.004 | mem: 2836.35	
Ep. [1/50][52/4688] Time(s): 0.23  batch err: 0.2184492722 | dataLoadTime: 0.004 | mem: 2836.35	
Ep. [1/50][53/4688] Time(s): 0.24  batch err: 0.2091666907 | dataLoadTime: 0.004 | mem: 2836.68	
Ep. [1/50][54/4688] Time(s): 0.23  batch err: 0.2002662905 | dataLoadTime: 0.004 | mem: 2836.68	
Ep. [1/50][55/4688] Time(s): 0.23  batch err: 0.1978087649 | dataLoadTime: 0.005 | mem: 2837.00	
Ep. [1/50][56/4688] Time(s): 0.24  batch err: 0.1821721531 | dataLoadTime: 0.004 | mem: 2837.98	
Ep. [1/50][57/4688] Time(s): 0.23  batch err: 0.1821222417 | dataLoadTime: 0.004 | mem: 2837.98	
Ep. [1/50][58/4688] Time(s): 0.24  batch err: 0.1758673042 | dataLoadTime: 0.004 | mem: 2838.29	
Ep. [1/50][59/4688] Time(s): 0.23  batch err: 0.1706413478 | dataLoadTime: 0.005 | mem: 2839.08	
Ep. [1/50][60/4688] Time(s): 0.23  batch err: 0.1750178710 | dataLoadTime: 0.005 | mem: 2839.58	
Ep. [1/50][61/4688] Time(s): 0.24  batch err: 0.1791964136 | dataLoadTime: 0.005 | mem: 2840.25	
Ep. [1/50][62/4688] Time(s): 0.23  batch err: 0.1742269769 | dataLoadTime: 0.004 | mem: 2840.25	
Ep. [1/50][63/4688] Time(s): 0.24  batch err: 0.1796017736 | dataLoadTime: 0.004 | mem: 2840.25	
Ep. [1/50][64/4688] Time(s): 0.23  batch err: 0.1754969656 | dataLoadTime: 0.004 | mem: 2840.25	
Ep. [1/50][65/4688] Time(s): 0.24  batch err: 0.1777402237 | dataLoadTime: 0.004 | mem: 2840.75	
Ep. [1/50][66/4688] Time(s): 0.24  batch err: 0.1730767004 | dataLoadTime: 0.004 | mem: 2840.75	
Ep. [1/50][67/4688] Time(s): 0.23  batch err: 0.1689318009 | dataLoadTime: 0.004 | mem: 2840.75	
Ep. [1/50][68/4688] Time(s): 0.23  batch err: 0.1675004885 | dataLoadTime: 0.005 | mem: 2840.75	
Ep. [1/50][69/4688] Time(s): 0.24  batch err: 0.1672728807 | dataLoadTime: 0.004 | mem: 2840.75	
Ep. [1/50][70/4688] Time(s): 0.23  batch err: 0.1610028110 | dataLoadTime: 0.004 | mem: 2840.75	
Ep. [1/50][71/4688] Time(s): 0.24  batch err: 0.1674889475 | dataLoadTime: 0.005 | mem: 2840.75	
Ep. [1/50][72/4688] Time(s): 0.24  batch err: 0.1589933336 | dataLoadTime: 0.004 | mem: 2840.75	
Ep. [1/50][73/4688] Time(s): 0.23  batch err: 0.1619372778 | dataLoadTime: 0.004 | mem: 2841.05	
Ep. [1/50][74/4688] Time(s): 0.24  batch err: 0.1614752300 | dataLoadTime: 0.004 | mem: 2841.05	
Ep. [1/50][75/4688] Time(s): 0.24  batch err: 0.1668050922 | dataLoadTime: 0.004 | mem: 2841.05	
Ep. [1/50][76/4688] Time(s): 0.24  batch err: 0.1560741439 | dataLoadTime: 0.004 | mem: 2841.05	
Ep. [1/50][77/4688] Time(s): 0.24  batch err: 0.1566967741 | dataLoadTime: 0.004 | mem: 2841.05	
Ep. [1/50][78/4688] Time(s): 0.24  batch err: 0.1555818245 | dataLoadTime: 0.005 | mem: 2841.05	
Ep. [1/50][79/4688] Time(s): 0.24  batch err: 0.1575167179 | dataLoadTime: 0.004 | mem: 2841.05	
Ep. [1/50][80/4688] Time(s): 0.23  batch err: 0.1536088251 | dataLoadTime: 0.005 | mem: 2841.80	
Ep. [1/50][81/4688] Time(s): 0.24  batch err: 0.1530994363 | dataLoadTime: 0.004 | mem: 2841.80	
Ep. [1/50][82/4688] Time(s): 0.23  batch err: 0.1584631354 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][83/4688] Time(s): 0.23  batch err: 0.1571851484 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][84/4688] Time(s): 0.24  batch err: 0.1497053728 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][85/4688] Time(s): 0.24  batch err: 0.1528130807 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][86/4688] Time(s): 0.24  batch err: 0.1481662504 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][87/4688] Time(s): 0.23  batch err: 0.1504467502 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][88/4688] Time(s): 0.24  batch err: 0.1558046490 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][89/4688] Time(s): 0.24  batch err: 0.1527887769 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][90/4688] Time(s): 0.24  batch err: 0.1539296843 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][91/4688] Time(s): 0.24  batch err: 0.1494154818 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][92/4688] Time(s): 0.23  batch err: 0.1539532840 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][93/4688] Time(s): 0.24  batch err: 0.1550718397 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][94/4688] Time(s): 0.24  batch err: 0.1484929249 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][95/4688] Time(s): 0.23  batch err: 0.1484950185 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][96/4688] Time(s): 0.24  batch err: 0.1453412175 | dataLoadTime: 0.005 | mem: 2842.21	
Ep. [1/50][97/4688] Time(s): 0.24  batch err: 0.1474054046 | dataLoadTime: 0.005 | mem: 2842.52	
Ep. [1/50][98/4688] Time(s): 0.24  batch err: 0.1457721628 | dataLoadTime: 0.005 | mem: 2842.52	
Ep. [1/50][99/4688] Time(s): 0.24  batch err: 0.1457117982 | dataLoadTime: 0.005 | mem: 2842.52	
Ep. [1/50][100/4688] Time(s): 0.23  batch err: 0.1531229205 | dataLoadTime: 0.005 | mem: 2842.52	
Ep. [1/50][101/4688] Time(s): 0.24  batch err: 0.1456684656 | dataLoadTime: 0.005 | mem: 2842.87	
Ep. [1/50][102/4688] Time(s): 0.24  batch err: 0.1464943402 | dataLoadTime: 0.005 | mem: 2843.43	
Ep. [1/50][103/4688] Time(s): 0.24  batch err: 0.1469941922 | dataLoadTime: 0.005 | mem: 2843.43	
Ep. [1/50][104/4688] Time(s): 0.24  batch err: 0.1433027089 | dataLoadTime: 0.005 | mem: 2843.43	
Ep. [1/50][105/4688] Time(s): 0.23  batch err: 0.1469301060 | dataLoadTime: 0.005 | mem: 2843.43	
Ep. [1/50][106/4688] Time(s): 0.24  batch err: 0.1449215636 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][107/4688] Time(s): 0.24  batch err: 0.1460582241 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][108/4688] Time(s): 0.24  batch err: 0.1501712911 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][109/4688] Time(s): 0.24  batch err: 0.1483304836 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][110/4688] Time(s): 0.24  batch err: 0.1467700675 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][111/4688] Time(s): 0.24  batch err: 0.1421881281 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][112/4688] Time(s): 0.24  batch err: 0.1413803957 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][113/4688] Time(s): 0.24  batch err: 0.1453681067 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][114/4688] Time(s): 0.24  batch err: 0.1439426467 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][115/4688] Time(s): 0.24  batch err: 0.1431718580 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][116/4688] Time(s): 0.24  batch err: 0.1448539309 | dataLoadTime: 0.005 | mem: 2843.75	
Ep. [1/50][117/4688] Time(s): 0.24  batch err: 0.1406255476 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][118/4688] Time(s): 0.24  batch err: 0.1447415277 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][119/4688] Time(s): 0.24  batch err: 0.1384894885 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][120/4688] Time(s): 0.24  batch err: 0.1430855282 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][121/4688] Time(s): 0.23  batch err: 0.1418342665 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][122/4688] Time(s): 0.24  batch err: 0.1418775618 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][123/4688] Time(s): 0.24  batch err: 0.1422979869 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][124/4688] Time(s): 0.24  batch err: 0.1399913393 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][125/4688] Time(s): 0.24  batch err: 0.1387673058 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][126/4688] Time(s): 0.24  batch err: 0.1397920661 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][127/4688] Time(s): 0.24  batch err: 0.1368579380 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][128/4688] Time(s): 0.24  batch err: 0.1395285316 | dataLoadTime: 0.005 | mem: 2844.00	
Ep. [1/50][129/4688] Time(s): 0.24  batch err: 0.1410763301 | dataLoadTime: 0.005 | mem: 2845.00	
Ep. [1/50][130/4688] Time(s): 0.24  batch err: 0.1409154609 | dataLoadTime: 0.005 | mem: 2845.00	
Ep. [1/50][131/4688] Time(s): 0.24  batch err: 0.1493384130 | dataLoadTime: 0.005 | mem: 2845.00	
Ep. [1/50][132/4688] Time(s): 0.24  batch err: 0.1504678950 | dataLoadTime: 0.005 | mem: 2845.00	
Ep. [1/50][133/4688] Time(s): 0.24  batch err: 0.0772868507 | dataLoadTime: 0.004 | mem: 2845.00	
Ep. [1/50][134/4688] Time(s): 0.24  batch err: 0.0960401185 | dataLoadTime: 0.004 | mem: 2842.00	
Ep. [1/50][135/4688] Time(s): 0.23  batch err: 0.1515993997 | dataLoadTime: 1.456 | mem: 2842.00	
Ep. [1/50][136/4688] Time(s): 0.23  batch err: 0.1544730216 | dataLoadTime: 0.194 | mem: 2845.00	
Ep. [1/50][137/4688] Time(s): 0.23  batch err: 0.1500985250 | dataLoadTime: 3.518 | mem: 2845.00	
Ep. [1/50][138/4688] Time(s): 0.22  batch err: 0.1467414536 | dataLoadTime: 0.280 | mem: 2845.00	
Ep. [1/50][139/4688] Time(s): 0.22  batch err: 0.1504115798 | dataLoadTime: 1.992 | mem: 2845.00	
Ep. [1/50][140/4688] Time(s): 0.22  batch err: 0.1473620869 | dataLoadTime: 0.373 | mem: 2845.00	
Ep. [1/50][141/4688] Time(s): 0.22  batch err: 0.1527061686 | dataLoadTime: 2.803 | mem: 2845.00	
Ep. [1/50][142/4688] Time(s): 0.24  batch err: 0.1510045938 | dataLoadTime: 0.703 | mem: 2845.00	
Ep. [1/50][143/4688] Time(s): 0.22  batch err: 0.1498765685 | dataLoadTime: 1.658 | mem: 2845.00	
Ep. [1/50][144/4688] Time(s): 0.23  batch err: 0.1437084973 | dataLoadTime: 0.315 | mem: 2845.00	
Ep. [1/50][145/4688] Time(s): 0.23  batch err: 0.1487101503 | dataLoadTime: 1.791 | mem: 2845.00	
